GBIFusageKey,country,prefName,state,classification,taxonLevel,family,englishName,synonyms
2703525,US,Cynodon,New Jersey,Restricted-seed-turf,genus,Poaceae,,
NA,US,Myriophyllum spicatum x Myriophyllum sibiricum,Montana,,hybrid,Haloragaceae,,
NA,US,Myriophyllum heterophyllum x M. laxum,New York,,species,Haloragaceae,,
NA,US,Linaria vulgaris x L. dalmatica,Colorado,B,hybrid,Plantaginaceae,,
NA,US,Myriophyllum spicatum x Myriophyllum sibiricum,Washington,C,species,Haloragaceae,,
2638307,US,Nitellopsis obtusa,Michigan,Prohibited,species,Characeae,Starry Stonewort,"Chara obtusa, Chara stelligera, Lychnothamnus stelligera, Nitellopsis stelligera, Nitellopsis stelligera"
2638307,US,Nitellopsis obtusa,Pennsylvania,A,species,Characeae,Starry Stonewort,"Chara obtusa, Chara stelligera, Lychnothamnus stelligera, Nitellopsis stelligera, Nitellopsis stelligera"
2643172,US,Caulerpa taxifolia,federal,,species,Caulerpaceae,"Caulerpa, Killer Alga, Sea Weed",Fucus taxifolius
2643172,US,Caulerpa taxifolia,South Carolina,,species,Caulerpaceae,"Caulerpa, Killer Alga, Sea Weed",Fucus taxifolius
2643172,US,Caulerpa taxifolia,Massachusetts,,species,Caulerpaceae,"Caulerpa, Killer Alga, Sea Weed",Fucus taxifolius
2650106,US,Azolla pinnata,federal,,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",
2650106,US,Azolla pinnata,Massachusetts,,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",
2650106,US,Azolla pinnata,Wisconsin,Prohibited,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",
2650106,US,Azolla pinnata,South Carolina,,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",
2650435,US,Lygodium microphyllum,Alabama,,species,Lygodiaceae,"Old World Climbing Fern, Small-Leaf Climbing Fern, Climbing-Maidenhair Fern, Small Leaf Climbing Fern, Small-Leaved Climbing Fern, Snake Fern","Lygodium scandens, Lygodium scandens intermedium, Lygodium scandens microphyllum, Lygodium scandens intermedium, Lygodium scandens microphyllum, Lygodium scandens microphyllum, Ophioglossum filiforme, Ophioglossum filiforme, Trichomanes cochinchinense, Ugena microphyllum"
2650435,US,Lygodium microphyllum,Florida,,species,Lygodiaceae,"Old World Climbing Fern, Small-Leaf Climbing Fern, Climbing-Maidenhair Fern, Small Leaf Climbing Fern, Small-Leaved Climbing Fern, Snake Fern","Lygodium scandens, Lygodium scandens intermedium, Lygodium scandens microphyllum, Lygodium scandens intermedium, Lygodium scandens microphyllum, Lygodium scandens microphyllum, Ophioglossum filiforme, Ophioglossum filiforme, Trichomanes cochinchinense, Ugena microphyllum"
2650435,US,Lygodium microphyllum,federal,,species,Lygodiaceae,"Old World Climbing Fern, Small-Leaf Climbing Fern, Climbing-Maidenhair Fern, Small Leaf Climbing Fern, Small-Leaved Climbing Fern, Snake Fern","Lygodium scandens, Lygodium scandens intermedium, Lygodium scandens microphyllum, Lygodium scandens intermedium, Lygodium scandens microphyllum, Lygodium scandens microphyllum, Ophioglossum filiforme, Ophioglossum filiforme, Trichomanes cochinchinense, Ugena microphyllum"
2650436,US,Lygodium japonicum,Alabama,,species,Lygodiaceae,"Japanese Climbing Fern, Vine-Like Fern","Adiantum scandens, Davallia scandens, Hydroglossum dissectum, Hydroglossum japonicum, Hydroglossum microstachyum, Lygodium chaerophylloides, Lygodium chochinchinense, Lygodium cochinchinense, Lygodium dissectum, Lygodium finlaysonianum, Lygodium hazaricum, Lygodium japonicum elongata, Lygodium japonicum elongata, Lygodium japonicum microstachyum, Lygodium japonicum microstachyum, Lygodium mearnsii, Lygodium microphyllum, Lygodium microstachyum, Lygodium microstachyum glabrescens, Lygodium microstachyum glabrescens, Lygodium pubescens, Lygodium tenue, Ophioglossum japonicum"
2650436,US,Lygodium japonicum,Florida,,species,Lygodiaceae,"Japanese Climbing Fern, Vine-Like Fern","Adiantum scandens, Davallia scandens, Hydroglossum dissectum, Hydroglossum japonicum, Hydroglossum microstachyum, Lygodium chaerophylloides, Lygodium chochinchinense, Lygodium cochinchinense, Lygodium dissectum, Lygodium finlaysonianum, Lygodium hazaricum, Lygodium japonicum elongata, Lygodium japonicum elongata, Lygodium japonicum microstachyum, Lygodium japonicum microstachyum, Lygodium mearnsii, Lygodium microphyllum, Lygodium microstachyum, Lygodium microstachyum glabrescens, Lygodium microstachyum glabrescens, Lygodium pubescens, Lygodium tenue, Ophioglossum japonicum"
2650436,US,Lygodium japonicum,Texas,,species,Lygodiaceae,"Japanese Climbing Fern, Vine-Like Fern","Adiantum scandens, Davallia scandens, Hydroglossum dissectum, Hydroglossum japonicum, Hydroglossum microstachyum, Lygodium chaerophylloides, Lygodium chochinchinense, Lygodium cochinchinense, Lygodium dissectum, Lygodium finlaysonianum, Lygodium hazaricum, Lygodium japonicum elongata, Lygodium japonicum elongata, Lygodium japonicum microstachyum, Lygodium japonicum microstachyum, Lygodium mearnsii, Lygodium microphyllum, Lygodium microstachyum, Lygodium microstachyum glabrescens, Lygodium microstachyum glabrescens, Lygodium pubescens, Lygodium tenue, Ophioglossum japonicum"
2702102,US,Typha,Washington,C,genus,Typhaceae,"Bulrush, Bulrushes, Cattail, Bulrushes And Cattails","Massula, Rohrbachia"
2702462,US,Ischaemum rugosum,Massachusetts,,species,Poaceae,"Ribbed Murainagrass, Murain Grass, Muraino Grass, Ribbed Muraina Grass, Saramatta Grass, Wrinkled Duck-Beak, Wrinkled Grass","Andropogon arnottianus, Andropogon griffithii, Andropogon griffithsiae, Andropogon monostachyus, Andropogon rugosus, Andropogon segetus, Andropogon tong-dong, Apluda rugosa, Apluda rugosa, Colladoa distachya, Ischaemum colladoa, Ischaemum royleanum, Ischaemum rugosum, Ischaemum rugosum segetum, Ischaemum rugosum distachyum, Ischaemum rugosum nanum, Ischaemum rugosum rugosum, Ischaemum rugosum segetum, Ischaemum segetum, Ischaemum tashiroi, Meoschium arnottianum, Meoschium griffithii, Meoschium royleanum, Meoschium royleanum, Meoschium rugosum, Meoschium wightii, Rottboellia glabrata, Rottboellia glabrata, Tripsacum distachyum, Tripsacum distichum"
2702462,US,Ischaemum rugosum,federal,,species,Poaceae,"Ribbed Murainagrass, Murain Grass, Muraino Grass, Ribbed Muraina Grass, Saramatta Grass, Wrinkled Duck-Beak, Wrinkled Grass","Andropogon arnottianus, Andropogon griffithii, Andropogon griffithsiae, Andropogon monostachyus, Andropogon rugosus, Andropogon segetus, Andropogon tong-dong, Apluda rugosa, Apluda rugosa, Colladoa distachya, Ischaemum colladoa, Ischaemum royleanum, Ischaemum rugosum, Ischaemum rugosum segetum, Ischaemum rugosum distachyum, Ischaemum rugosum nanum, Ischaemum rugosum rugosum, Ischaemum rugosum segetum, Ischaemum segetum, Ischaemum tashiroi, Meoschium arnottianum, Meoschium griffithii, Meoschium royleanum, Meoschium royleanum, Meoschium rugosum, Meoschium wightii, Rottboellia glabrata, Rottboellia glabrata, Tripsacum distachyum, Tripsacum distichum"
2702462,US,Ischaemum rugosum,Florida,,species,Poaceae,"Ribbed Murainagrass, Murain Grass, Muraino Grass, Ribbed Muraina Grass, Saramatta Grass, Wrinkled Duck-Beak, Wrinkled Grass","Andropogon arnottianus, Andropogon griffithii, Andropogon griffithsiae, Andropogon monostachyus, Andropogon rugosus, Andropogon segetus, Andropogon tong-dong, Apluda rugosa, Apluda rugosa, Colladoa distachya, Ischaemum colladoa, Ischaemum royleanum, Ischaemum rugosum, Ischaemum rugosum segetum, Ischaemum rugosum distachyum, Ischaemum rugosum nanum, Ischaemum rugosum rugosum, Ischaemum rugosum segetum, Ischaemum segetum, Ischaemum tashiroi, Meoschium arnottianum, Meoschium griffithii, Meoschium royleanum, Meoschium royleanum, Meoschium rugosum, Meoschium wightii, Rottboellia glabrata, Rottboellia glabrata, Tripsacum distachyum, Tripsacum distichum"
2702462,US,Ischaemum rugosum,South Carolina,,species,Poaceae,"Ribbed Murainagrass, Murain Grass, Muraino Grass, Ribbed Muraina Grass, Saramatta Grass, Wrinkled Duck-Beak, Wrinkled Grass","Andropogon arnottianus, Andropogon griffithii, Andropogon griffithsiae, Andropogon monostachyus, Andropogon rugosus, Andropogon segetus, Andropogon tong-dong, Apluda rugosa, Apluda rugosa, Colladoa distachya, Ischaemum colladoa, Ischaemum royleanum, Ischaemum rugosum, Ischaemum rugosum segetum, Ischaemum rugosum distachyum, Ischaemum rugosum nanum, Ischaemum rugosum rugosum, Ischaemum rugosum segetum, Ischaemum segetum, Ischaemum tashiroi, Meoschium arnottianum, Meoschium griffithii, Meoschium royleanum, Meoschium royleanum, Meoschium rugosum, Meoschium wightii, Rottboellia glabrata, Rottboellia glabrata, Tripsacum distachyum, Tripsacum distichum"
2702504,US,Melinis repens,Arizona,B,species,Poaceae,"Natal Grass, Natal Red Top, Rose Natal Grass, Natal Grass, Blanketgrass, Holme's Grass, Red Natal Grass, Ruby Grass, Natal-Redtop, Rose Natal Grass, Red Natal Grass","Axonopus repens, Erianthus repens, Monachyron villosum, Rhynchelythrum repens, Rhynchelytrum dregeanum, Rhynchelytrum dregeanum annuum, Rhynchelytrum dregeanum intermedium, Rhynchelytrum gossweileri, Rhynchelytrum repens, Rhynchelytrum ruficomum, Rhynchelytrum ruficomum, Rhynchelytrum stolzii, Saccharum repens, Tricholaena atropurpura, Tricholaena brevipila, Tricholaena grandiflora, Tricholaena repens, Tricholaena rosea atropurpura, Tricholaena rosea violacea, Tricholaena rosea setosa, Tricholaena wightii, Tricholaena wightii"
2702717,US,Nardus stricta,Oregon,"List A, List T",species,Poaceae,"Mat-Grass, Matgrass, Moor Matgrass, Nard Grass, Strict Matgrass, Wirebent","Nardus glabriculmis, Nardus stricta elatior, Nardus stricta elongata, Nardus stricta elongata, Nardus stricta glabriculmis, Nardus stricta minor, Natschia stricta"
2702808,US,Echinochloa crus-galli,Arkansas,,species,Poaceae,"Barnyard Grass, Barnyard Millet, Barnyardgrass, Cocksfoot Grass, Cockshin Grass, Cockspur, Cockspur Grass, Cockspur [Grass], Cockspur, Cockspur Grass, Cockspur-Panic, Water Grass, Wild Millet","Echinochloa crus-galli breviseta, Echinochloa crus-galli crus-galli, Echinochloa crus-galli aristata, Echinochloa crus-galli atra, Echinochloa crus-galli austrojaponensis, Echinochloa crus-galli breviseta, Echinochloa crus-galli echinata, Echinochloa crus-galli exigua, Echinochloa crus-galli formosensis, Echinochloa crus-galli kasaharae, Echinochloa crus-galli longiseta, Echinochloa crus-galli mitis, Echinochloa crus-galli mixta, Echinochloa crus-galli mutica, Echinochloa crus-galli praticola, Echinochloa crus-galli purpurea, Echinochloa crus-galli rohlenae, Echinochloa crus-galli vittata, Echinochloa crus-galli angustifolia, Echinochloa crus-galli aristata, Echinochloa crus-galli aristata, Echinochloa crus-galli breviseta, Echinochloa crus-galli longiseta, Echinochloa crus-galli pauciflora, Echinochloa crus-pavonis austrojaponensis, Echinochloa crus-pavonis breviseta, Echinochloa crus-pavonis praticola, Echinochloa disticha, Echinochloa echinata, Echinochloa macrocarpa aristata, Echinochloa macrocarpa mutica, Echinochloa muricata occidentalis, Echinochloa pungens occidentalis, Milium crus-galli, Oplismenus crus-galli, Oplismenus crus-galli muticus, Orthopogon crus-galli, Panicum alectorocnemum, Panicum alectromerum, Panicum crus-galli, Panicum crus-galli atra, Panicum crus-galli rohlenae, Panicum crus-galli angustifolium, Panicum crus-galli aristatum, Panicum crus-galli breviaristatum, Panicum crus-galli brevisetum, Panicum crus-galli echinatum, Panicum crus-galli exiguum, Panicum crus-galli hispidum, Panicum crus-galli longisetum, Panicum crus-galli mite, Panicum crus-galli mixtum, Panicum crus-galli muticum, Panicum crus-galli prostratum, Panicum crus-galli pumilum, Panicum crus-galli purpureum, Panicum crus-galli pygmaeum, Panicum crus-galli rohlenae, Panicum crus-galli brevisetum, Panicum crus-galli pauciflorum, Panicum crus-galli typicum, Panicum crus-galli vulgare, Panicum grossum, Panicum hispidulum, Panicum polystachyum, Pennisetum crus-galli"
2703041,US,Arundo donax,Wisconsin,Prohibited,species,Poaceae,"Arundo Grass, Bamboo Reed, Cow Cane, Donax Cane, Giant Cane, River Cane, Spanish Cane/Reed, Wild Cane, Reedgrass, Cana Brava, Giant Reed, Spanish-Reed, Giant-Reed","Aira bengalensis, Amphidonax bengalensis, Amphidonax bengalensis, Amphidonax bengalensis, Amphidonax bifaria, Amphidonax bifaria, Arundo aegyptia, Arundo aegyptiaca, Arundo aegyptiaca, Arundo bambusifolia, Arundo bengalensis, Arundo bifaria, Arundo coleotricha, Arundo coleotricha barbigera, Arundo coleotricha versicolor, Arundo coleotricha barbigera, Arundo coleotricha versicolor, Arundo donax donax, Arundo donax versicolor, Arundo donax angustifolia, Arundo donax barbigera, Arundo donax coleotricha, Arundo donax lanceolata, Arundo donax picta, Arundo donax picta, Arundo donax procerior, Arundo donax tsibi, Arundo donax variegata, Arundo donax versicolor, Arundo donax angustifolia, Arundo donax barbigera, Arundo donax coleotricha, Arundo donax donax, Arundo donax lanceolata, Arundo donax procerior, Arundo donax variegata, Arundo donax variegata, Arundo donax variegata, Arundo donax versicolor, Arundo donax versicolor, Arundo donax versicolor, Arundo glauca, Arundo latifolia, Arundo longifolia, Arundo longifolia, Arundo sativa, Arundo scriptoria, Arundo triflora, Arundo triflora, Arundo versicolor, Cynodon donax, Donax arundinaceus, Donax bengalensis, Donax bifarius, Donax donax, Donax sativa, Donax sativus, Donax versicolor, Scolochloa arundinacea, Scolochloa donax"
2703041,US,Arundo donax,California,CCR 4519,species,Poaceae,"Arundo Grass, Bamboo Reed, Cow Cane, Donax Cane, Giant Cane, River Cane, Spanish Cane/Reed, Wild Cane, Reedgrass, Cana Brava, Giant Reed, Spanish-Reed, Giant-Reed","Aira bengalensis, Amphidonax bengalensis, Amphidonax bengalensis, Amphidonax bengalensis, Amphidonax bifaria, Amphidonax bifaria, Arundo aegyptia, Arundo aegyptiaca, Arundo aegyptiaca, Arundo bambusifolia, Arundo bengalensis, Arundo bifaria, Arundo coleotricha, Arundo coleotricha barbigera, Arundo coleotricha versicolor, Arundo coleotricha barbigera, Arundo coleotricha versicolor, Arundo donax donax, Arundo donax versicolor, Arundo donax angustifolia, Arundo donax barbigera, Arundo donax coleotricha, Arundo donax lanceolata, Arundo donax picta, Arundo donax picta, Arundo donax procerior, Arundo donax tsibi, Arundo donax variegata, Arundo donax versicolor, Arundo donax angustifolia, Arundo donax barbigera, Arundo donax coleotricha, Arundo donax donax, Arundo donax lanceolata, Arundo donax procerior, Arundo donax variegata, Arundo donax variegata, Arundo donax variegata, Arundo donax versicolor, Arundo donax versicolor, Arundo donax versicolor, Arundo glauca, Arundo latifolia, Arundo longifolia, Arundo longifolia, Arundo sativa, Arundo scriptoria, Arundo triflora, Arundo triflora, Arundo versicolor, Cynodon donax, Donax arundinaceus, Donax bengalensis, Donax bifarius, Donax donax, Donax sativa, Donax sativus, Donax versicolor, Scolochloa arundinacea, Scolochloa donax"
