GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms
3084923,United States,California,REGION,,Alternanthera philoxeroides,CCR 4514,species,Amaranthaceae,"Alligator Weed, Alligatorweed, Alligator-Weed","Achyranthes aphylla, Achyranthes paludosa, Achyranthes philoxeroides, Alternanthera aphylla, Alternanthera philoxerina, Alternanthera philoxeroides acutifolia, Alternanthera philoxeroides angustifolia, Alternanthera philoxeroides phyllantha, Alternanthera philoxeroides lancifolia, Alternanthera philoxeroides luxurians, Alternanthera philoxeroides obtusifolia, Alternanthera philoxeroides platyphylla, Brandesia martiana, Bucholzia philoxeroides, Bucholzia philoxeroides acutifolia, Bucholzia philoxeroides obtusifolia, Celosia amphibia, Mogiphanes philorexoides, Mogiphanes philoxeroides, Telanthera philoxeroides, Telanthera philoxeroides acutifolia, Telanthera philoxeroides denticulata, Telanthera philoxeroides linearifolia, Telanthera philoxeroides obtusifolia, Telanthera philoxeroides phyllantha"
3084923,United States,Florida,REGION,,Alternanthera philoxeroides,NA,species,Amaranthaceae,"Alligator Weed, Alligatorweed, Alligator-Weed","Achyranthes aphylla, Achyranthes paludosa, Achyranthes philoxeroides, Alternanthera aphylla, Alternanthera philoxerina, Alternanthera philoxeroides acutifolia, Alternanthera philoxeroides angustifolia, Alternanthera philoxeroides phyllantha, Alternanthera philoxeroides lancifolia, Alternanthera philoxeroides luxurians, Alternanthera philoxeroides obtusifolia, Alternanthera philoxeroides platyphylla, Brandesia martiana, Bucholzia philoxeroides, Bucholzia philoxeroides acutifolia, Bucholzia philoxeroides obtusifolia, Celosia amphibia, Mogiphanes philorexoides, Mogiphanes philoxeroides, Telanthera philoxeroides, Telanthera philoxeroides acutifolia, Telanthera philoxeroides denticulata, Telanthera philoxeroides linearifolia, Telanthera philoxeroides obtusifolia, Telanthera philoxeroides phyllantha"
3084923,United States,Texas,REGION,,Alternanthera philoxeroides,NA,species,Amaranthaceae,"Alligator Weed, Alligatorweed, Alligator-Weed","Achyranthes aphylla, Achyranthes paludosa, Achyranthes philoxeroides, Alternanthera aphylla, Alternanthera philoxerina, Alternanthera philoxeroides acutifolia, Alternanthera philoxeroides angustifolia, Alternanthera philoxeroides phyllantha, Alternanthera philoxeroides lancifolia, Alternanthera philoxeroides luxurians, Alternanthera philoxeroides obtusifolia, Alternanthera philoxeroides platyphylla, Brandesia martiana, Bucholzia philoxeroides, Bucholzia philoxeroides acutifolia, Bucholzia philoxeroides obtusifolia, Celosia amphibia, Mogiphanes philorexoides, Mogiphanes philoxeroides, Telanthera philoxeroides, Telanthera philoxeroides acutifolia, Telanthera philoxeroides denticulata, Telanthera philoxeroides linearifolia, Telanthera philoxeroides obtusifolia, Telanthera philoxeroides phyllantha"
3084923,United States,Alabama,REGION,,Alternanthera philoxeroides,NA,species,Amaranthaceae,"Alligator Weed, Alligatorweed, Alligator-Weed","Achyranthes aphylla, Achyranthes paludosa, Achyranthes philoxeroides, Alternanthera aphylla, Alternanthera philoxerina, Alternanthera philoxeroides acutifolia, Alternanthera philoxeroides angustifolia, Alternanthera philoxeroides phyllantha, Alternanthera philoxeroides lancifolia, Alternanthera philoxeroides luxurians, Alternanthera philoxeroides obtusifolia, Alternanthera philoxeroides platyphylla, Brandesia martiana, Bucholzia philoxeroides, Bucholzia philoxeroides acutifolia, Bucholzia philoxeroides obtusifolia, Celosia amphibia, Mogiphanes philorexoides, Mogiphanes philoxeroides, Telanthera philoxeroides, Telanthera philoxeroides acutifolia, Telanthera philoxeroides denticulata, Telanthera philoxeroides linearifolia, Telanthera philoxeroides obtusifolia, Telanthera philoxeroides phyllantha"
3084923,United States,South Carolina,REGION,,Alternanthera philoxeroides,NA,species,Amaranthaceae,"Alligator Weed, Alligatorweed, Alligator-Weed","Achyranthes aphylla, Achyranthes paludosa, Achyranthes philoxeroides, Alternanthera aphylla, Alternanthera philoxerina, Alternanthera philoxeroides acutifolia, Alternanthera philoxeroides angustifolia, Alternanthera philoxeroides phyllantha, Alternanthera philoxeroides lancifolia, Alternanthera philoxeroides luxurians, Alternanthera philoxeroides obtusifolia, Alternanthera philoxeroides platyphylla, Brandesia martiana, Bucholzia philoxeroides, Bucholzia philoxeroides acutifolia, Bucholzia philoxeroides obtusifolia, Celosia amphibia, Mogiphanes philorexoides, Mogiphanes philoxeroides, Telanthera philoxeroides, Telanthera philoxeroides acutifolia, Telanthera philoxeroides denticulata, Telanthera philoxeroides linearifolia, Telanthera philoxeroides obtusifolia, Telanthera philoxeroides phyllantha"
3128228,United States,California,REGION,,Centaurea nigrescens,CCR 4544,species,Asteraceae,"Alpine Knapweed, Short-Fringe Knapweed, Tyrol Knapweed, Vochin Knapweed, Wocheiner Knapweed, Short-Fringed Knapweed, Blackish Knapweed, Short-Fringe Starthistle","Centaurea dubia vochinensis, Centaurea nigrescens nigrescens, Jacea nigrescens nigrescens"
3128228,United States,Washington,REGION,,Centaurea nigrescens,A,species,Asteraceae,"Alpine Knapweed, Short-Fringe Knapweed, Tyrol Knapweed, Vochin Knapweed, Wocheiner Knapweed, Short-Fringed Knapweed, Blackish Knapweed, Short-Fringe Starthistle","Centaurea dubia vochinensis, Centaurea nigrescens nigrescens, Jacea nigrescens nigrescens"
3128228,United States,Wisconsin,REGION,,Centaurea nigrescens,Restricted,species,Asteraceae,"Alpine Knapweed, Short-Fringe Knapweed, Tyrol Knapweed, Vochin Knapweed, Wocheiner Knapweed, Short-Fringed Knapweed, Blackish Knapweed, Short-Fringe Starthistle","Centaurea dubia vochinensis, Centaurea nigrescens nigrescens, Jacea nigrescens nigrescens"
3085074,United States,Georgia,REGION,,Amaranthus,Restricted,genus,Amaranthaceae,"Amaranth, Pigweed, Pigweeds, Amaranths","Acanthochiton, Acnida, Albersia, Amarantellus, Amblogyna, Bajan, Blitum, Dimeiandra, Euxolus, Galliaria, Glomeraria, Goerziella, Mengea, Montelia, Pentrius, Pyxidium, Roemeria, Sarratia, Scleropus"
3084939,United States,California,REGION,,Alternanthera sessilis,CCR 4515,species,Amaranthaceae,"Amaranthus Weed, Rabbit-Meat, Sessile Joyweed, Dwarf Copperleaf","Achyranthes linearifolia, Achyranthes polygonoides, Achyranthes repens, Achyranthes sessilis, Achyranthes triandra, Achyranthes villosa, Allaganthera forsskaolei, Altemanthera sessilis, Alternanthera achyranth, Alternanthera achyranthes, Alternanthera achyranthoides, Alternanthera denticulata bifaria, Alternanthera dubia, Alternanthera ficoides, Alternanthera ficoides minor, Alternanthera ficoides versicolor, Alternanthera glabra, Alternanthera major, Alternanthera nana major, Alternanthera nodiflora, Alternanthera nodiflora lanceolata, Alternanthera nodiflora linearifolia, Alternanthera polygonoides, Alternanthera prostrata, Alternanthera repens, Alternanthera sennii, Alternanthera sessilis, Alternanthera sessilis lanceolata, Alternanthera sessilis spathulifolia, Alternanthera sessilis angustifolia, Alternanthera sessilis major, Alternanthera sessilis neglecta, Alternanthera sessilis nodiflora, Alternanthera sessilis parviflora, Alternanthera sessilis stauntonii, Alternanthera sessilis tenuissima, Alternanthera sibirica, Alternanthera sissoo, Alternanthera tenella, Alternanthera tenuissima, Alternanthera triandra, Alternanthera triandra nodiflora, Alternanthera uliginosa, Bucholzia diffusa, Bucholzia polygonoides, Gomphrena brasiliensis, Gomphrena polygonoides, Gomphrena sessilis, Illecebrum denticulatum, Illecebrum glabrum, Illecebrum indicum, Illecebrum polygonoides, Illecebrum sessile, Illecebrum sibiricum, Illecebrum triandrum, Paronychia dubia, Paronychia sessilis, Paronychia tetragona, Steiremis sessilifolia, Telanthera polygonoides, Telanthera polygonoides compacta, Telanthera polygonoides major"
3084939,United States,Massachusetts,REGION,,Alternanthera sessilis,NA,species,Amaranthaceae,"Amaranthus Weed, Rabbit-Meat, Sessile Joyweed, Dwarf Copperleaf","Achyranthes linearifolia, Achyranthes polygonoides, Achyranthes repens, Achyranthes sessilis, Achyranthes triandra, Achyranthes villosa, Allaganthera forsskaolei, Altemanthera sessilis, Alternanthera achyranth, Alternanthera achyranthes, Alternanthera achyranthoides, Alternanthera denticulata bifaria, Alternanthera dubia, Alternanthera ficoides, Alternanthera ficoides minor, Alternanthera ficoides versicolor, Alternanthera glabra, Alternanthera major, Alternanthera nana major, Alternanthera nodiflora, Alternanthera nodiflora lanceolata, Alternanthera nodiflora linearifolia, Alternanthera polygonoides, Alternanthera prostrata, Alternanthera repens, Alternanthera sennii, Alternanthera sessilis, Alternanthera sessilis lanceolata, Alternanthera sessilis spathulifolia, Alternanthera sessilis angustifolia, Alternanthera sessilis major, Alternanthera sessilis neglecta, Alternanthera sessilis nodiflora, Alternanthera sessilis parviflora, Alternanthera sessilis stauntonii, Alternanthera sessilis tenuissima, Alternanthera sibirica, Alternanthera sissoo, Alternanthera tenella, Alternanthera tenuissima, Alternanthera triandra, Alternanthera triandra nodiflora, Alternanthera uliginosa, Bucholzia diffusa, Bucholzia polygonoides, Gomphrena brasiliensis, Gomphrena polygonoides, Gomphrena sessilis, Illecebrum denticulatum, Illecebrum glabrum, Illecebrum indicum, Illecebrum polygonoides, Illecebrum sessile, Illecebrum sibiricum, Illecebrum triandrum, Paronychia dubia, Paronychia sessilis, Paronychia tetragona, Steiremis sessilifolia, Telanthera polygonoides, Telanthera polygonoides compacta, Telanthera polygonoides major"
3084939,United States,Florida,REGION,,Alternanthera sessilis,NA,species,Amaranthaceae,"Amaranthus Weed, Rabbit-Meat, Sessile Joyweed, Dwarf Copperleaf","Achyranthes linearifolia, Achyranthes polygonoides, Achyranthes repens, Achyranthes sessilis, Achyranthes triandra, Achyranthes villosa, Allaganthera forsskaolei, Altemanthera sessilis, Alternanthera achyranth, Alternanthera achyranthes, Alternanthera achyranthoides, Alternanthera denticulata bifaria, Alternanthera dubia, Alternanthera ficoides, Alternanthera ficoides minor, Alternanthera ficoides versicolor, Alternanthera glabra, Alternanthera major, Alternanthera nana major, Alternanthera nodiflora, Alternanthera nodiflora lanceolata, Alternanthera nodiflora linearifolia, Alternanthera polygonoides, Alternanthera prostrata, Alternanthera repens, Alternanthera sennii, Alternanthera sessilis, Alternanthera sessilis lanceolata, Alternanthera sessilis spathulifolia, Alternanthera sessilis angustifolia, Alternanthera sessilis major, Alternanthera sessilis neglecta, Alternanthera sessilis nodiflora, Alternanthera sessilis parviflora, Alternanthera sessilis stauntonii, Alternanthera sessilis tenuissima, Alternanthera sibirica, Alternanthera sissoo, Alternanthera tenella, Alternanthera tenuissima, Alternanthera triandra, Alternanthera triandra nodiflora, Alternanthera uliginosa, Bucholzia diffusa, Bucholzia polygonoides, Gomphrena brasiliensis, Gomphrena polygonoides, Gomphrena sessilis, Illecebrum denticulatum, Illecebrum glabrum, Illecebrum indicum, Illecebrum polygonoides, Illecebrum sessile, Illecebrum sibiricum, Illecebrum triandrum, Paronychia dubia, Paronychia sessilis, Paronychia tetragona, Steiremis sessilifolia, Telanthera polygonoides, Telanthera polygonoides compacta, Telanthera polygonoides major"
3084939,United States,,NATIONAL,,Alternanthera sessilis,NA,species,Amaranthaceae,"Amaranthus Weed, Rabbit-Meat, Sessile Joyweed, Dwarf Copperleaf","Achyranthes linearifolia, Achyranthes polygonoides, Achyranthes repens, Achyranthes sessilis, Achyranthes triandra, Achyranthes villosa, Allaganthera forsskaolei, Altemanthera sessilis, Alternanthera achyranth, Alternanthera achyranthes, Alternanthera achyranthoides, Alternanthera denticulata bifaria, Alternanthera dubia, Alternanthera ficoides, Alternanthera ficoides minor, Alternanthera ficoides versicolor, Alternanthera glabra, Alternanthera major, Alternanthera nana major, Alternanthera nodiflora, Alternanthera nodiflora lanceolata, Alternanthera nodiflora linearifolia, Alternanthera polygonoides, Alternanthera prostrata, Alternanthera repens, Alternanthera sennii, Alternanthera sessilis, Alternanthera sessilis lanceolata, Alternanthera sessilis spathulifolia, Alternanthera sessilis angustifolia, Alternanthera sessilis major, Alternanthera sessilis neglecta, Alternanthera sessilis nodiflora, Alternanthera sessilis parviflora, Alternanthera sessilis stauntonii, Alternanthera sessilis tenuissima, Alternanthera sibirica, Alternanthera sissoo, Alternanthera tenella, Alternanthera tenuissima, Alternanthera triandra, Alternanthera triandra nodiflora, Alternanthera uliginosa, Bucholzia diffusa, Bucholzia polygonoides, Gomphrena brasiliensis, Gomphrena polygonoides, Gomphrena sessilis, Illecebrum denticulatum, Illecebrum glabrum, Illecebrum indicum, Illecebrum polygonoides, Illecebrum sessile, Illecebrum sibiricum, Illecebrum triandrum, Paronychia dubia, Paronychia sessilis, Paronychia tetragona, Steiremis sessilifolia, Telanthera polygonoides, Telanthera polygonoides compacta, Telanthera polygonoides major"
3084939,United States,South Carolina,REGION,,Alternanthera sessilis,NA,species,Amaranthaceae,"Amaranthus Weed, Rabbit-Meat, Sessile Joyweed, Dwarf Copperleaf","Achyranthes linearifolia, Achyranthes polygonoides, Achyranthes repens, Achyranthes sessilis, Achyranthes triandra, Achyranthes villosa, Allaganthera forsskaolei, Altemanthera sessilis, Alternanthera achyranth, Alternanthera achyranthes, Alternanthera achyranthoides, Alternanthera denticulata bifaria, Alternanthera dubia, Alternanthera ficoides, Alternanthera ficoides minor, Alternanthera ficoides versicolor, Alternanthera glabra, Alternanthera major, Alternanthera nana major, Alternanthera nodiflora, Alternanthera nodiflora lanceolata, Alternanthera nodiflora linearifolia, Alternanthera polygonoides, Alternanthera prostrata, Alternanthera repens, Alternanthera sennii, Alternanthera sessilis, Alternanthera sessilis lanceolata, Alternanthera sessilis spathulifolia, Alternanthera sessilis angustifolia, Alternanthera sessilis major, Alternanthera sessilis neglecta, Alternanthera sessilis nodiflora, Alternanthera sessilis parviflora, Alternanthera sessilis stauntonii, Alternanthera sessilis tenuissima, Alternanthera sibirica, Alternanthera sissoo, Alternanthera tenella, Alternanthera tenuissima, Alternanthera triandra, Alternanthera triandra nodiflora, Alternanthera uliginosa, Bucholzia diffusa, Bucholzia polygonoides, Gomphrena brasiliensis, Gomphrena polygonoides, Gomphrena sessilis, Illecebrum denticulatum, Illecebrum glabrum, Illecebrum indicum, Illecebrum polygonoides, Illecebrum sessile, Illecebrum sibiricum, Illecebrum triandrum, Paronychia dubia, Paronychia sessilis, Paronychia tetragona, Steiremis sessilifolia, Telanthera polygonoides, Telanthera polygonoides compacta, Telanthera polygonoides major"
